               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 120,            0.062546,            0.020164,                   0,             0.47874,             0.56944,             0.46665,             0.16303,             0.06005,           0.0089893,                   0,           0.0076438,           0.0076438,           0.0076438
                 121,            0.061976,            0.021916,                   0,             0.50774,             0.59722,             0.49156,             0.17309,            0.068975,           0.0093079,                   0,            0.007624,            0.007624,            0.007624
                 122,            0.067819,             0.01934,                   0,             0.50774,             0.59722,             0.49156,             0.17309,            0.068975,           0.0093079,                   0,           0.0076042,           0.0076042,           0.0076042
                 123,            0.063959,            0.018837,                   0,             0.52233,             0.61111,              0.5053,             0.17599,            0.060923,            0.009285,                   0,           0.0075844,           0.0075844,           0.0075844
                 124,            0.065117,            0.016638,                   0,             0.52233,             0.61111,              0.5053,             0.17599,            0.060923,            0.009285,                   0,           0.0075646,           0.0075646,           0.0075646
                 125,            0.063241,            0.012051,                   0,             0.46661,             0.58333,             0.40063,             0.12455,            0.063643,           0.0090771,                   0,           0.0075448,           0.0075448,           0.0075448
                 126,            0.067702,            0.018126,                   0,             0.46661,             0.58333,             0.40063,             0.12455,            0.063643,           0.0090771,                   0,            0.007525,            0.007525,            0.007525
                 127,            0.070709,            0.015051,                   0,             0.47941,             0.56944,             0.51724,             0.15723,            0.065898,           0.0086994,                   0,           0.0075052,           0.0075052,           0.0075052
                 128,            0.069868,            0.016303,                   0,             0.47941,             0.56944,             0.51724,             0.15723,            0.065898,           0.0086994,                   0,           0.0074854,           0.0074854,           0.0074854
                 129,            0.065262,            0.011941,                   0,             0.44413,             0.59925,             0.54344,             0.16916,            0.065138,           0.0088806,                   0,           0.0074656,           0.0074656,           0.0074656
                 130,            0.063553,            0.018711,                   0,             0.44413,             0.59925,             0.54344,             0.16916,            0.065138,           0.0088806,                   0,           0.0074458,           0.0074458,           0.0074458
                 131,            0.065402,            0.015617,                   0,             0.78525,             0.60944,             0.69174,             0.23227,             0.05515,           0.0089283,                   0,            0.007426,            0.007426,            0.007426
                 132,            0.059959,            0.017873,                   0,             0.78525,             0.60944,             0.69174,             0.23227,             0.05515,           0.0089283,                   0,           0.0074062,           0.0074062,           0.0074062
                 133,            0.065469,            0.017643,                   0,             0.54917,             0.44444,             0.40198,             0.10918,            0.067545,           0.0085659,                   0,           0.0073864,           0.0073864,           0.0073864
                 134,            0.065837,            0.016635,                   0,             0.54917,             0.44444,             0.40198,             0.10918,            0.067545,           0.0085659,                   0,           0.0073666,           0.0073666,           0.0073666
                 135,            0.065469,            0.014647,                   0,             0.67605,             0.58333,             0.63919,             0.19237,            0.058913,           0.0087204,                   0,           0.0073468,           0.0073468,           0.0073468
                 136,            0.064938,            0.018372,                   0,             0.67605,             0.58333,             0.63919,             0.19237,            0.058913,           0.0087204,                   0,            0.007327,            0.007327,            0.007327
                 137,            0.064196,            0.018055,                   0,             0.63758,             0.65976,             0.69112,             0.24383,            0.056512,           0.0085907,                   0,           0.0073072,           0.0073072,           0.0073072
                 138,            0.058502,            0.016457,                   0,             0.63758,             0.65976,             0.69112,             0.24383,            0.056512,           0.0085907,                   0,           0.0072874,           0.0072874,           0.0072874
                 139,            0.059372,            0.020625,                   0,             0.74267,               0.625,             0.72176,             0.25476,            0.055328,           0.0087805,                   0,           0.0072676,           0.0072676,           0.0072676
                 140,            0.059453,            0.018531,                   0,             0.74267,               0.625,             0.72176,             0.25476,            0.055328,           0.0087805,                   0,           0.0072478,           0.0072478,           0.0072478
                 141,            0.058257,            0.017636,                   0,             0.45525,             0.67325,             0.61311,             0.22097,            0.062189,            0.008666,                   0,            0.007228,            0.007228,            0.007228
